From	To
Q03656	SKY1
Q01939	RPT6
Q12250	RPN5
Q04062	RPN9
P43588	RPN11
Q08723	RPN8
Q07478	SUB2
P30656	PRE2
P30657	PRE4
P22141	PRE1
P38624	PRE3
P38293	UMP1
Q06624	AOS1
P40013	BIM1
P25043	PUP1
P40302	PRE5
P36003	NNK1
Q03981	CSN9
Q02199	NUP49
P23638	PRE9
P21242	PRE10
Q08018	YLR076C
P47050	RTT101
P40064	NUP157
Q03465	RPN4
P25390	SSK22
P23724	PRE7
P53243	YGR067C
Q9Y6K9	IKBKG
Q13546	RIPK1
P99998	CYCS
Q9HC29	NOD2
Q9Y2G2	CARD8
P31947	SFN
P22216	RAD53
P06243	CDC7
P32325	DBF4
P70444	Bid
Q92934	BAD
P10417	Bcl2
P32121	ARRB2
Q15569	TESK1
Q63572	Tesk1
P19438	TNFRSF1A
Q15628	TRADD
Q13114	TRAF3
Q61160	Fadd
Q13077	TRAF1
Q92851	CASP10
Q13158	FADD
Q16611	BAK1
P21796	VDAC1
Q07813	Bax
Q05962	Slc25a4
P67869	CSNK2B
P68400	CSNK2A1
Q7K105	Myd88
P08953	Tl
Q9V3B4	Fadd
P25445	FAS
Q14790	CASP8
P62999	RAC1
P60706	ACTB
O54918	Bcl2l11
Q9NP97	DYNLRB1
P10415	BCL2
O43521	BCL2L11
P60953	CDC42
Q13153	PAK1
P46940	IQGAP1
P42768	WAS
Q22038	rho-1
P50591	TNFSF10
P01112	HRAS
O43353	RIPK2
P29466	CASP1
Q03135	CAV1
Q12933	TRAF2
P33012	sbmC
Q99PI8	Rtn4r
P06241	FYN
P28750	exu
Q95RE4	yps
P63256	ACTG1
P05067	APP
Q9WVI9	Mapk8ip1
P16573	Ceacam1
Q789F3	MAF
Q05437	PRRX1
P24343	HOXD12
O42348	Pax-6
P23091	V-MAF
Q69140	EBNA6
P62994	Grb2
Q9QX70	Egfr
P43405	SYK
P06239	LCK
P22681	CBL
P51451	BLK
P00533	EGFR
Q03347	Runx1
P15863	PAX1
P50222	MEOX2
Q92882	OSTF1
O35179	Sh3gl2
O15117	FYB1
Q13094	LCP2
O88382	Magi2
Q9WU82	Ctnnb1
Q92673	SORL1
Q19266	pkc-3
Q9XTY6	num-1
Q9NPB6	PARD6A
P41743	PRKCI
Q8TEW0	PARD3
P14680	YAK1
P34730	BMH2
Q9UER7	DAXX
O35613	Daxx
Q924I2	Map4k3
Q07157	TJP1
P28229	Gjc1
P08887	IL6R
Q16190	BCR/ABL
P11274	BCR
P68255	Ywhaq
P27348	YWHAQ
Q9NVW2	RLIM
P68433	H3c1
P68433	H3c10
P68433	H3c11
P68433	H3c8
P83917	Cbx1
P19793	RXRA
Q9NPJ4	PNRC2
P10276	RARA
P11474	ESRRA
Q13285	NR5A1
Q07869	PPARA
Q9Y618	NCOR2
P15941	MUC1
P17302	GJA1
Q08369	Gata4
P39019	RPS19
P51168	SCNN1B
P37088	SCNN1A
P51170	SCNN1G
Q9HB71	CACYBP
O43255	SIAH2
Q8IUQ4	SIAH1
O15049	N4BP3
P30304	CDC25A
Q96B97	SH3KBP1
P08581	MET
Q99963	SH3GL3
Q9Y5K6	CD2AP
P32577	Csk
Q61152	Ptpn18
O14964	HGS
P0CG48	UBC
Q99816	TSG101
P80200	cagA
G5EG62	unc-45
P02566	unc-54
Q9HBX9	RXFP1
G1SR27	GRB2
Q61234	Snta1
Q28626	SNTA1
P16333	NCK1
P60842	EIF4A1
Q14240	EIF4A2
Q08963	LEA1
P40546	FAF1
P55010	EIF5
P47813	EIF1AX
Q9NR30	DDX21
P05412	JUN
Q13196	p72syk
P52566	ARHGDIB
P25028	fs(1)Ya
P35241	RDX
P10911	MCF2
P52565	ARHGDIA
Q08211	DHX9
Q9UBU9	NXF1
P52948	NUP98
Q92973	TNPO1
Q9BUJ2	HNRNPUL1
P78406	RAE1
Q93009	USP7
P10686	Plcg1
P45481	Crebbp
Q9Y6Q9	NCOA3
P70483	Strn
P12931	SRC
O15350	TP73
P63097	GNAI1
P51638	Cav3
P38936	CDKN1A
Q61187	Tsg101
P09108	RAPSN
Q92629	SGCD
Q13326	SGCG
Q14315	FLNC
O15553	MEFV
Q9NZQ3	NCKIPSD
Q9Z207	Diaph3
P15054	V-SRC
P53675	CLTCL1
O95782	AP2A1
O00291	HIP1
Q27974	DNAJC6
Q969H0	FBXW7
Q15642	TRIP10
Q92738	USP6NL
P12314	FCGR1A
P15891	ABP1
P25693	PCL2
Q9SUT5	SGT1B
Q9SE34	Rar1
Q9SE33	RAR1
Q71U36	TUBA1A
Q14203	DCTN1
Q9UBN7	HDAC6
Q9UNS2	COPS3
P05107	ITGB2
Q8VHK2	Caskin1
Q9QYW3	Mob4
P19804	Nme2
Q05193	DNM1
P14672	SLC2A4
O15143	ARPC1B
P16892	FUS3
O75381	PEX14
O96011	PEX11B
Q92968	PEX13
P40855	PEX19
P50542	PEX5
Q9Y5Y5	PEX16
P42573	ced-3
P15991	HSPB1
P04792	HSPB1
Q99683	MAP3K5
P16220	CREB1
P23443	RPS6KB1
Q60876	Eif4ebp1
P42345	MTOR
O15530	PDPK1
P31749	AKT1
P67774	PPP2CA
O75689	ADAP1
P48729	CSNK1A1
P18754	RCC1
P26583	HMGB2
P09429	HMGB1
Q96A00	PPP1R14A
P50548	ERF
Q9Y4H2	IRS2
P35568	IRS1
Q24342	fng
Q15750	TAB1
Q9XWD6	ced-1
P33175	Kif5a
Q61026	Ncoa2
O75461	E2F6
Q8IY57	YAF2
O00268	TAF4
P08631	HCK
Q92556	ELMO1
P61978	HNRNPK
Q9JM97	ERb
P21520	sca
Q13257	MAD2L1
P06213	INSR
P62158	CALM1
P62158	CALM2
P62158	CALM3
P11234	RALB
P11233	RALA
P0A6C0	iscS
P0A6Z2	hscA
Q62622	Eif4ebp1
P21980	TGM2
O00161	SNAP23
Q63531	Rps6ka1
P13382	POL1
P40468	TAO3
P39730	FUN12
P32797	CDC13
P17214	EST1
Q14191	WRN
P13010	XRCC5
P31423	Grm4
Q9UBS0	RPS6KB2
O00418	EEF2K
P63002	Tle5
P63158	Hmgb1
P02340	Tp53
Q04863	Relb
P13405	Rb1
Q62440	Tle1
P22893	Zfp36
P28069	POU1F1
Q61510	Trim25
P55196	AFDN
P13632	dctD
P54731	Faf1
Q9UKB1	FBXW11
Q13616	CUL1
Q64368	Dazl
Q9ESJ4	Nckipsd
P62993	GRB2
P26954	Csf2rb2
Q92835	INPP5D
O43543	XRCC2
O75771	RAD51D
O55230	Rad51d
P02489	CRYAA
P07315	CRYGC
P43320	CRYBB2
P02511	CRYAB
Q16832	DDR2
Q13526	PIN1
P11388	TOP2A
Q00646	nimX
P49651	P2ry1
P15498	VAV1
Q13905	RAPGEF1
Q13322	GRB10
P36592	rad22
P36601	rhp51
Q9WVE9	Itsn1
P21575	Dnm1
O70377	Snap23
P60881	Snap25
P17149	UL70
P16827	UL102
P04275	VWF
P47897	QARS
P07900	HSP90AA1
P56192	MARS
P07814	EPRS
P41252	IARS
P78560	CRADD
Q96RN5	MED15
Q13485	SMAD4
P84022	SMAD3
Q15796	SMAD2
Q15797	SMAD1
O75448	MED24
O75586	MED6
Q925J2	Pkd1
O54864	Suv39h1
P27694	RPA1
P13569	CFTR
P97639	Mchr1
P13711	POX1
P15172	MYOD1
P11831	SRF
P15173	MYOG
P17676	CEBPB
Q09118	HBEGF
P10644	PRKAR1A
P08587	TGM2
Q9JHL6	Ceacam1
Q99232	Ceacam1
Q93YM7	BZI-1
O43516	WIPF1
O08816	Wasl
P49815	TSC2
P61981	YWHAG
P63101	Ywhaz
Q9QWV4	Mlf1
Q9Z1D1	Eif3g
P09405	Ncl
Q99J45	Nrbp1
P58340	MLF1
O43524	FOXO3
P46527	CDKN1B
P78314	SH3BP2
P68254	Ywhaq
P06729	CD2
O43586	PSTPIP1
P18031	PTPN1
P30291	WEE1
P12023	App
P97318	Dab1
Q9UQF2	MAPK8IP1
P45983	MAPK8
Q61477	Nbl1
O35929	Rem1
Q8VEL9	Rem2
P42338	PIK3CB
Q61584	Fxr1
P50281	MMP14
P13574	STE12
Q9P0K1	ADAM22
O75077	ADAM23
Q03431	PTH1R
P30307	CDC25C
P53350	PLK1
O14649	KCNK3
P00520	Abl1
P55194	Sh3bp1
G5EF47	smg-7
O76512	smg-2
P54274	TERF1
P25054	APC
Q15691	MAPRE1
Q96BK5	PINX1
Q9BSI4	TINF2
Q8TDM6	DLG5
O60504	SORBS3
P48412	UPF3
P30771	NAM7
Q9HCN6	GP6
Q62093	Srsf2
O75494	SRSF10
P03129	E7
Q9Y5S9	RBM8A
Q9BZI7	UPF3B
Q811P8	Arhgap32
A7KAX9	ARHGAP32
Q02555	RNT1
P15646	NOP1
P03211	EBNA1
Q07021	C1QBP
P19784	CSNK2A2
Q9ERR1	Ndel1
P62259	Ywhae
Q07955	SRSF1
P52292	KPNA2
P46821	MAP1B
Q9H2C0	GAN
Q8CA72	Gan
P12755	SKI
O43157	PLXNB1
P39880	CUX1
Q92918	MAP4K1
