From	To
P20853	CYP2A7
Q96H78	SLC25A44
P12259	F5
P47992	XCL1
Q5W186	CST9
Q9HAW0	BRF2
Q9BWM7	SFXN3
Q8IVS2	MCAT
Q96AZ6	ISG20
P14854	COX6B1
Q8N4L4	SPEM1
Q8NDZ4	DIPK2A
Q0VDD8	DNAH14
P49184	DNASE1L1
Q5TFE4	NT5DC1
P14406	COX7A2
Q9BU89	DOHH
Q0VG99	MESP2
P11511	CYP19A1
Q2M2E5	C5orf64
P16520	GNB3
F5GYW9	SERPINB11
Q9NYW3	TAS2R7
P17538	CTRB1
O95972	BMP15
Q9Y2T6	GPR55
Q08431	MFGE8
Q3SXZ7	TTLL9
Q9H7P6	MVB12B
Q2TAL5	SMTNL2
A0PJX2	TLDC2
P28161	GSTM2
Q9NXS3	KLHL28
Q5VW32	BROX
Q8NFM7	IL17RD
P20813	CYP2B6
Q96DR7	ARHGEF26
Q9Y6Z7	COLEC10
Q96SA4	SERINC2
P27216	ANXA13
O43820	HYAL3
Q02383	SEMG2
P47870	GABRB2
P55058	PLTP
P56704	WNT3A
Q9GZX3	CHST6
Q86WK7	AMIGO3
Q8NCH0	CHST14
Q8TCI5	PIFO
Q9NZM6	PKD2L2
Q8ND71	GIMAP8
Q9UMX5	NENF
Q8N6G6	ADAMTSL1
O00168	FXYD1
Q8N2R8	FAM43A
O95922	TTLL1
P01210	PENK
Q9BY49	PECR
Q9H9Y4	GPN2
Q52LD8	RFTN2
P08637	FCGR3A
Q13889	GTF2H3
Q8TCW7	ZPLD1
Q8WZ82	OVCA2
P31371	FGF9
Q9UGC7	MTRF1L
Q8N7X2	STPG3
Q04771	ACVR1
O95256	IL18RAP
Q8N8M0	NAT16
P36954	POLR2I
A6NHL2	TUBAL3
Q6PKC0	GMPR2
Q13231	CHIT1
E7EPJ1	RIN2
Q7Z5L4	SPATA19
Q8TDL5	BPIFB1
Q6JBY9	RCSD1
Q9BUA6	MYL10
Q9BZD7	PRRG3
Q86SU0	ILDR1
Q92506	HSD17B8
Q9H0J9	PARP12
Q8N5C6	SRBD1
P47989	XDH
Q9NWM0	SMOX
O15229	KMO
A2VDF0	FUOM
Q9H3W5	LRRN3
Q8WY54	PPM1E
Q3KR37	GRAMD1B
Q711Q0	CEFIP
O43448	KCNAB3
Q9Y2B4	TP53TG5
Q16518	RPE65
Q8N9H9	C1orf127
Q9BYB4	GNB1L
B7ZBD5	RABL2A
Q68DX3	FRMPD2
A6NMU8	NLGN4Y
Q7RTX9	SLC16A14
Q9H1Y3	OPN3
P82675	MRPS5
A2RRL7	TMEM213
P50579	METAP2
Q6KCM7	SLC25A25
Q8WWH5	TRUB1
Q9H0U9	TSPYL1
Q4LDG9	DNAL1
P59190	RAB15
Q9P272	TRMT9B
O95081	AGFG2
P01242	GH2
O00305	CACNB4
Q96E14	RMI2
Q53H12	AGK
Q14123	PDE1C
Q9H0X9	OSBPL5
P43088	PTGFR
Q6UWM9	UGT2A3
Q7Z2W7	TRPM8
P55822	SH3BGR
Q9NRR3	CDC42SE2
Q9H1B4	NXF5
Q8TC41	RNF217
Q6MZW2	FSTL4
P20933	AGA
P16562	CRISP2
Q12794	HYAL1
Q6EKJ0	GTF2IRD2B
Q5BKY1	LRRC10
Q9NQT6	FSCN3
B9ZVM9	TCP10L2
O95977	S1PR4
Q8IU54	IFNL1
Q7L8W6	DPH6
Q6ICG8	WBP2NL
O60404	OR10H3
Q9H2A2	ALDH8A1
Q9H4I8	SERHL2
Q9UMR3	TBX20
Q9NQZ5	STARD7
Q5JSZ1	TLE4
Q07343	PDE4B
Q8TF66	LRRC15
Q05901	CHRNB3
Q6P5R6	RPL22L1
Q9NRB3	CHST12
P35218	CA5A
Q8IUC8	GALNT13
O60688	YPEL1
Q5VW38	GPR107
O00186	STXBP3
Q86YN1	DOLPP1
Q9Y251	HPSE
B7Z5R0	ZNF747
Q9UBN1	CACNG4
Q9UHK6	AMACR
Q9Y673	ALG5
O95567	C22orf31
Q3SXM0	DCAF4L1
Q9Y546	LRRC42
Q8TF68	ZNF384
H0YKB7	IL16
Q96BJ8	ELMO3
A8K979	ERI2
Q14679	TTLL4
Q14681	KCTD2
Q96LW9	ZSCAN31
O75487	GPC4
P03952	KLKB1
Q8TC84	FANK1
Q6XE24	RBMS3
Q6UW10	SFTA2
O15254	ACOX3
Q9BWV1	BOC
Q8NHS3	MFSD8
Q7Z3V5	ZNF571
E7ET36	TFR2
Q16352	INA
Q502W6	VWA3B
Q9H0R1	AP5M1
O14926	FSCN2
Q9BTV6	DPH7
Q9NVA1	UQCC1
Q8TDX6	CSGALNACT1
P41247	PNPLA4
Q3SY69	ALDH1L2
Q3LFD5	USP41
P23327	HRC
P10243	MYBL1
Q9UNP4	ST3GAL5
Q53RT3	ASPRV1
Q58FG0	HSP90AA5P
Q58FG1	HSP90AA4P
Q5JUX0	SPIN3
Q8IXN7	RIMKLA
Q5JSP0	FGD3
Q5SXM8	DNLZ
P15169	CPN1
Q5T4D3	TMTC4
Q7RTY3	PRSS45P
Q11206	ST3GAL4
A1L188	NDUFAF8
Q9NTI7	INKA2
P42357	HAL
Q9UK23	NAGPA
Q6ICH7	ASPHD2
Q6PCB0	VWA1
Q96DT0	LGALS12
Q9H4X1	RGCC
Q6S8J3	POTEE
Q96B77	TMEM186
P13671	C6
Q5H913	ARL13A
A4D2B0	MBLAC1
Q9UJT0	TUBE1
O75324	SNN
Q5TB30	DEPDC1
Q86TX2	ACOT1
Q86TM3	DDX53
P56915	GSC
O43934	MFSD11
Q9H300	PARL
Q8IWA0	WDR75
Q86SQ9	DHDDS
Q9NX31	OSER1
Q8IXQ6	PARP9
P0CG30	GSTT2B
Q8N4A0	GALNT4
Q8TD90	MAGEE2
Q8N201	INTS1
O15335	CHAD
Q6ZN66	GBP6
Q8N697	SLC15A4
Q8NBK3	SUMF1
O75106	AOC2
O15444	CCL25
P07099	EPHX1
Q9BQT8	SLC25A21
Q86YI8	PHF13
Q92626	PXDN
Q92508	PIEZO1
Q9NUP7	TRMT13
Q8TDW7	FAT3
Q8TD47	RPS4Y2
Q8NEQ5	C1orf162
Q5M8T2	SLC35D3
P83111	LACTB
Q5T1N1	AKNAD1
Q66K79	CPZ
Q96DN5	TBC1D31
Q96FC9	DDX11
Q8N9N7	LRRC57
Q6UWI4	SHISA2
Q96S16	JMJD8
Q96RQ1	ERGIC2
Q68DA7	FMN1
Q9BSF4	TIMM29
Q9H1Z9	TSPAN10
O14657	TOR1B
O60427	FADS1
P30837	ALDH1B1
Q9HCK1	ZDBF2
Q9HC84	MUC5B
Q9NZI5	GRHL1
Q9UBQ6	EXTL2
Q9UI15	TAGLN3
Q9UHE8	STEAP1
Q9UJK0	TSR3
Q9UNW9	NOVA2
Q9Y2G0	EFR3B
P01134	Tgfa
P80386	Prkab1
Q05498	FCF1
P36144	UTP30
P02769	ALB
P00432	CAT
P00743	F10
Q07507	DPT
P13605	FMOD
P51654	GPC3
Q9Y625	GPC6
Q9UEW3	MARCO
Q9D7N9	Apmap
P07603	hydB
P09061	bkdA2
P27245	marR
P04499	PTP
P0AF28	narL
P03641	F
P0A8U6	metJ
P69723	vif
O13144	ndr1
Q64280	Lefty1
Q9W6I6	lft1
O67082	rnc
P07222	npm1
O33819	hcrA
Q9WX14	rex
Q9X2V5	rex
Q8TZH8	PF2015
O64980	TCTEX1
P0DMH7	hop
Q8II92	PF3D7_1127100
Q5EGQ1	BWC2
O29424	AF_0834
Q8KBL4	CT1772
Q84AF2	bstYIR
P04850	HN
O05935	oxoO
Q7KY08	AGO1
P0C0Y7	puhA
O05207	top6B
Q9RFR0	mgs
Q97ZF4	albA2
P60849	albA1
P0AA86	dsbE
P21874	pdhB
Q57733	MJ0285
O30989	styR
Q08545	ORF8
Q03035	prn
Q775D6	mtd
Q9A223	cenR
Q9A379	CC_3325
Q9A912	CC_1182
Q9AA48	CC_0758
Q9ABD5	CC_0294
Q9A7I2	CC_1741
Q9A4R4	CC_2766
Q9V0U0	gatE
Q9V0T9	gatD
Q9H6P5	TASP1
P68831	B2
Q61712	Dnajc1
P35705	PRDX3
Q5SKW1	sigA
P81303	nop10
O35157	Slc8a1
Q6PIE5	Atp1a2
Q6IAW3	CDK5
O68196	ddrB
P34047	HISN5A
E5LGB7	bclIC
P69596	N
Q5RTL1	pol
Q9SSX0	RAC1
Q9VNB5	Orco
P81917	Or43a
Q980A5	eif2g
P17597	ALS
Q80UV9	Taf1
P54311	Gnb1
P54313	Gnb2
Q61143	Trpc6
Q9R244	Trpc2
Q93WD2	Lhcb4
Q99W51	tadA
P34299	glr-1
Q9BX69	CARD6
P58801	Ripk2
Q6VGT6	E3
P35408	PTGER4
Q4DA80	PA45-A
Q9CQR7	Psenen
P42196	sop2
Q7A1N5	sarA
P39066	acuB
Q81HW2	BC_0669
O08679	Mark2
P94692	por
Q7DAM2	SPy_0861
P9WGK7	prrB
P9WGM1	prrA
Q6TEC1	nudt16
P60568	IL2
P62980	UBI3
Q9RBW3	hopAB1
P9WI71	pknH
Q61496	Ddx4
Q5UC28	tsaA
Q5FZJ0	ahpC
Q9ES08	Kcnk9
P21278	Gna11
Q8R4I1	Atxn7
O15431	SLC31A1
Q90381	RAG1
Q45ZT6	Rag1L
Q804H9	RAG2
Q45ZT5	Rag2L
Q99MI6	Gimap3
Q8BWF2	Gimap5
Q99JY3	Gimap4
P54548	rnz
Q05489	lip
O08530	S1pr1
Q24139	comm
Q8GR61	xdh
Q28021	ROCK2
P35160	resA
O08701	Arg2
P28472	GABRB3
Q20KN1	NFkB
Q7RQ71	PY01232
Q977U7	gdh
Q5UNP6	eryAI
Q89ZI2	BT_4395
P11067	nifB
Q64346	Dusp6
O57300	crmD
O35903	Ccl25
P40224	Cxcl12
P06804	Tnf
O43927	CXCL13
Q7PRG3	1272658
O35451	Atf6b
Q9WZ31	corA
P35354	PTGS2
P73906	tyrA
P13597	Icam1
P29533	Vcam1
Q5MPF8	atm
Q9X0M7	mcp2
Q56311	cheW
Q6DGW3	srprb
Q22013	CELE_R186.3
O68847	intIA
P04488	gE
Q9RPY1	virB4
Q54N00	forH
Q5C838	dec
P26747	5
P59594	S
Q9X6J6	mtrB
I7CA98	todT
E0X9C7	todS
P36285	ORF2
Q9LSE2	SCRM
Q9B074	47
P05632	ATP5F1E
O08538	Angpt1
Q62768	Unc13a
Q8A2Y3	BT_3172
Q8A5W2	pgi
Q8AB44	BT_0267
Q8A8E6	zwf
Q8A2K3	BT_3302
P02466	Col1a2
P40995	scd1
O73948	radA
P11126	P1
P07579	P8
Q5T4W7	ARTN
O60609	GFRA3
P71119	hmuO
O54967	Tnk2
P0CW52	nifK
P0CW44	glnBI
P0CW46	glnBII
O32142	pucM
O75462	CRLF1
Q99KQ4	Nampt
Q9SSL9	PEPR1
Q8ZMX2	pat
Q9QXG4	Acss2
Q99NB1	Acss1
P53042	Ppp5c
Q9VFC0	Mau2
P03012	tnpR
Q7Y3F3	orf9
P70290	Mpp1
P0CAU1	clpP
O66659	dnaA
Q7MWG4	serB
O33976	espA
Q03133	eryA
Q8YY42	ccbP
P27709	hetR
P16113	pyp
P57729	RAB38
Q8K386	Rab15
P35288	Rab23
P35284	Rab12
Q6XK19	btsz
Q03096	EST3
Q9M6U3	HMGS1
Q1EG93	CesA1
Q80T14	Fras1
Q684R7	Frem1
A2A259	Pkd2l1
P59632	3a
Q0QLE9	Ena
O02495	snb-1
O62414	ric-4
Q2FEZ8	coaW
Q9HWC1	coaX
P43489	TNFRSF4
P23510	TNFSF4
P24643	CANX
Q6DPL2	NA
Q6XV46	NA
Q07599	NA
Q9JIZ5	Tfap4
Q02760	petC
Q8U3I5	eif2b
G3HWC3	CgPICR_011481
Q20924	sun-1
Q99T13	SAV1866
Q8U1R4	nop10
P24630	hemL
Q5P5I0	ebdA
P18113	Thrb
Q91X05	Nphs2
P09384	cheA
Q9FEW9	OPR3
Q9FIE3	VIN3
Q3ACS0	acsD
Q8XZN8	RSc1357
Q8XZN9	ripG
Q8XYF7	RSc1801
Q8XRE0	RSp0914
Q9QR71	LANA1
Q4D2C9	Tc00.1047053505163.80
Q9JL19	Ncoa6
F1PAA9	CDH1
Q9LKW9	NHX7
Q6EZC2	subA
O58917	PH1179
Q831W7	proS
Q6N5P6	proS
O67434	aq_1447
Q6GX35	tarP
Q69ZU8	Ankrd6
Q64359	Cnga4
Q6RVV4	TIC32
O24303	TIC110
Q60748	Crhr2
Q922X9	Prmt7
Q03736	ctaC
P00550	mtlA
Q91XD6	Vps36
P54657	cadA
P32194	NPG1
Q95QD7	lin-54
P30630	lin-9
Q61056	Trpc1
Q9QZC1	Trpc3
Q9X4B7	wza
Q62226	Shh
Q9Z1P8	Angptl4
P0A1J5	flgK
P0A1J7	flgN
P0A1N2	fliT
P0A1K1	fliJ
P16326	flgL
P49861	5
Q00322	Cebpd
Q8R5A0	Smyd2
Q8BNY6	Ncs1
P22756	Grik1
P31498	yopJ
B2IZD3	Npun_R6513
Q46EH4	mtaC
Q9Y7G6	qde-1
Q77MD2	NP
P37527	pdxS
Q8GI16	carAc
P27000	gltX
Q8CIX8	Lgsn
Q9ESG4	Cltrn
D4A100	Stoml3
Q8JGT0	csnk1a1
P27360	S
Q8K3Y6	Zc3hav1
P46152	Gata4
Q9Y235	APOBEC2
P05695	oprP
Q505F1	Nr2c1
Q9JHD1	Kat2b
Q9R1T5	Aspa
Q8PDA8	kynA
Q8E972	kynA
Q77DJ5	VP30
P70326	Tbx5
O58268	pfdB
O58263	pfdA
P44868	trmL
A2ARP9	Catsper2
Q80W99	Catsper3
Q8BVN3	Catsper4
Q6Q272	C2-hpah
Q61115	Ptch1
Q91VH2	Snx9
Q79SE5	traN
O64973	RPS5
P0C6D6	tcpN
P0A930	wza
P0A3M7	lciA
Q8R1S4	Mtss1
Q9Z2X2	Psmd10
Q9MYV3	VEGFA
P52584	A2R
Q75WV4	N
Q6LZE1	sepS
Q10271	arb2
Q9P7B8	arb1
O30142	wtpA
O30143	wtpB
O30126	sepS
O66874	mrcA
Q8QGV2	wee1-b
P22808	vnd
Q6IL70	CG11551-RA
Q8VIM5	Myocd
P59759	Mrtfb
Q9JM73	Srf
Q72500	vpr
P05958	vpr
Q8KKH4	nirK
P0CD76	lpxD
Q9ERP3	Trim54
Q9KUS8	cgtA
Q9KNM2	spoT
Q91YR1	Twf1
F1SDV6	PLCG1
Q92PC8	bluB
Q3UFB7	Ntrk1
Q80UW2	Fbxo2
Q6ZQ88	Kdm1a
Q6ZPI3	Lcor
O60462	NRP2
Q9QWJ9	Nrp1
P0AD59	ivy
Q9HXB1	ivy
Q88019	nef
O89293	nef
Q994M8	nef
O70903	nef
O41790	nef
Q14691	GINS1
P90573	PbTRAP
Q9HY82	rnt
Q64385	Il11ra1
B2B9B0	Ephb2
Q09819	SPAC16C9.05
Q9UTB6	sds3
Q09750	pst1
Q09698	SPAC2F7.07c
Q8IEG4	PF3D7_1315100
Q60857	Slc6a4
Q03142	Fgfr4
Q5PSJ1	grxC1
Q5BBF1	rri1
Q00648	csnG
Q9C467	csnD
Q5BB47	csnF
Q5B3U7	csnB
Q5BD89	csnA
Q32904	lhca3
Q381Q7	Tb11.01.6930
P63281	Ube2i
Q28197	flk-1
Q46455	selB
Q9N693	sbb
Q8KLK7	BU52_01220
Q6UJY2	Slc9c1
Q8C0T9	Adcy10
P45689	csoS1A
Q9CZD3	Gars1
Q62871	Dync1i2
P53566	Cebpa
Q61033	Tmpo
P25391	LAMA1
O96759	eapA
P20488	SYP
Q91V12	Acot7
Q3XZW8	murI
Q9ZLT0	murI
Q6GHT5	murI
Q836J0	murI
P12860	GAPB
Q9Z9H6	rpoA
D4A8G7	Snw1
Q9R193	Atp1b4
Q8PUB8	top6B
O05208	top6A
A8VP90	SRK13-b
Q9AVE0	SRKb
Q9AVE1	SRKa
Q09092	SRK6
C5IAU5	E5
A5A6S6	TMEM38A
P9WI73	pknG
P0ABK7	csgB
A2AIM4	Tpm2
P21107	Tpm3
Q9HTK9	alkT
Q9HTK8	rubA2
Q704P7	tnI1
P40149	oxc
Q40126	Fen
A7XXZ0	100134911
Q6N5G2	phyB2
P61959	Sumo2
P42703	Lifr
Q9ET75	Six3
Q62599	Mta1
Q41328	PTI1
Q71CG2	atpC
P40710	nlpE
P19483	ATP5F1A
Q0P6M6	lpxA
P35963	gag-pol
A7M6E7	Tm-1
Q6ZKC0	GF14C
Q2R1D5	GF14H
Q5QNB8	GF14G
Q2R2W2	GF14D
Q01960	flhF
Q5SMG8	TTHA1060
Q62384	Zpr1
Q9FZK0	SPL11
Q5MXB2	csrA1
Q9I9L0	hey2
P07677	atpD
P0A371	cry1Ab
Q99PH1	Lrrc4
Q9W6J4	clocka
Q9I879	arntl1a
Q8JIG1	arntl1b
Q9I917	cry1a
Q8JIG2	clockb
Q08048	Hgf
P96927	MT0665
P9WFJ9	Rv0637
P9WFK1	Rv0635
Q96MU8	KREMEN1
Q99PJ1	Pcdh15
Q3U182	Crtc2
Q58440	srp19
Q9WTV7	Rlim
O55203	Ldb2
Q98GN8	mll3241
Q8C000	Gm5124
Q64104	Nr2e1
P00641	3
P13340	49
P11904	parM
Q91YV0	Tcf4
Q94JQ6	CESA6
Q6GKZ1	klhl10
Q1XA76	ASIC1
O28951	AF_1318
P01096	ATP5IF1
Q9WV81	Gps2
Q4QR41	gps2
P97947	Nr0b2
Q9D8N0	Eef1g
Q48245	vacA
D3ZEN1	Efna4
P55408	traM
P55407	traR
Q97ZJ7	SSO0909
P78789	amk2
V6BMM3	tmRNA
Q9A6J2	CC_2102
Q97C07	TVG0307586
O59188	PH1519
O74091	PHS045
O73983	PHS023
Q979L0	TVG1179749
O57938	PH0199
O57880	PH0140
Q8BVQ5	Ppme1
A6YRS1	rif1
P13526	LC
Q54BM7	ppkA
P34080	Aqp2
P03462	HA
P32722	oprD
Q8AW92	lmo4-a
P52632	Stat5b
F1M9D6	Stat1
Q6PF53	efnb2
Q9PT69	efnb3
Q52546	repA
Q3UHD1	Adgrb1
P60202	Plp1
Q9VUD5	nan
A8WH76	inaF-B
Q01717	Trhr
A4ZNP8	NP
P00642	ecoRIR
P40515	FIS1
A1Z2S2	phoQ
Q97Z79	eif2a
Q84JQ4	PRK2
P62538	repE
C5XY71	nit
C5XY70	SORBI_3004G225000
A0SNV4	H
Q9KQW9	msbA
P63359	msbA
P23895	emrE
Q82X47	Rh50
P03406	nef
Q10233	rpc2
Q62667	Mvp
P06668	virD2
Q7D3V8	Atu5117
Q8VT82	virE2
P35837	26
Q9WYN2	tdk
O18734	CPI17
P37230	Ppara
O67728	tilS
Q01718	MC2R
P58400	NRXN1
O75056	SDC3
Q6P704	ufd1
A5YVF1	SGS3
Q77YG1	gag
P12063	cyt-18
Q0QWP3	cry2
P32233	Drg1
P12425	glnA
A8DYL7	pgc
O17432	Cdk9
Q8MNV0	spas-1
P62881	Gnb5
Q72JJ7	rnj
Q8XBV8	fepE
Q8X8S6	wzzB
P0AG01	wzzE
Q04866	wzzB
Q9LF53	RGL3
Q980K0	rpoL
Q7LXK4	rpoF
A1JV32	prgO
Q9LYN8	EMS1
Q6TLJ2	TPD1
Q66793	C4R
Q7YTF7	PF3D7_0213400
Q8VGC3	Cacnb2
Q05152	CACNA1B
P27884	CACNA1A
Q12791	KCNMA1
Q6NXK8	Asic1
Q9GKK5	TUBG1
P70206	Plxna1
Q8BNV8	A530064D06Rik
P02958	sspC
Q5XJY4	Parl
P28223	HTR2A
P30274	CCNA2
P83953	Kpna1
Q38902	ARAC1
Q9I747	hcp1
P12858	GAPA
P12859	GAPB
P93681	prk
Q86SX3	TEDC1
Q26011	s48/45
P43527	Casp1
Q920D5	Casp12
P08083	cna
Q8WNV7	DHRS4
Q9YDF8	APE_0955
Q3UHN9	Ndst1
Q924A2	Cic
Q8JZX4	Rbm17
P53563	Bcl2l1
Q6PEC4	Skp1
Q9HXT9	wspR
Q9QY24	Zbp1
Q15814	TBCC
Q9Z1W4	Gdf11
O42569	sox2
Q6FUT5	GAL11B
Q6FRS9	GAL11
P03281	IX
P03282	IX
Q9UUC7	ctu2
Q2I6W2	notIR
P04128	fimA
A8HSA7	HTR2
Q59054	sepS
Q59072	MJ1678
Q24145	Shark
P97428	Rgs16
Q9CU65	Zmym2
Q9Y9L0	APE_2278
Q8VRM4	gspJ
Q8VLK7	gspK
Q70KH9	aurF
Q58CQ2	ARPC1B
Q1JTL4	cp
Q99ML1	Bbc3
Q9JII7	Zfand2a
B0M1H2	Saa1
Q91YD5	Itga9
P31356	RHO
Q9IH62	G
Q91ZK0	Tfap2d
P06996	ompC
Q00805	aos
Q8WPZ6	AQP
P00259	camB
P49718	Mcm5
P47876	Igfbp1
P47880	Igfbp6
P47877	Igfbp2
P47879	Igfbp4
O57464	dkk1
Q27IR0	AGO1
Q72LA4	TT_C0155
O29777	copA
Q2EEZ0	HE
P43288	ASK1
P43457	ntpK
O31269	iscS
O31270	iscU
Q61168	Laptm5
Q9JIH2	Nup50
Q8GT75	NIP1
Q52GZ4	rpoT2
Q8GT74	NIP2
A8E124	nip
Q5TLG6	Dronpa
O94267	spt16
Q3U2S8	Hvcn1
Q1JV40	HVCN1
P03147	C
Q9JJV9	Scn5a
Q83884	ORF2
Q6GFF9	dagK
Q84BQ9	prmA
Q8A1G2	susD
Q06FY7	CcaS
B4F7E7	Mpp5
O94421	snf22
Q9UTQ7	arp9
O74792	snf59
Q09849	arp42
Q9P7S6	snf30
O74964	rsc1
Q09699	snf5
O94522	rsc7
Q9UTN6	snf21
Q9WUL5	Pdcd1lg2
P07567	gag
P08063	virE1
P37019	clcA
P97291	Cdh8
P08546	UL54
O68840	sbsC
Q38184	int
Q8BSJ6	Pml
Q09170	cds1
Q9ESN6	Trim2
Q9VS97	PGRP-SD
Q9VYX7	PGRP-SA
Q9NHB0	GNBP1
P14585	lin-12
O45201	dsl-1
P45442	lag-2
O18407	vkg
O30409	tycC
Q8VEB1	Grk5
Q8XL08	nagJ
B1V5X9	CJD_1811
P26831	nagH
Q8XMY5	nanJ
Q6A4J8	Usp7
P07305	H1-0
Q42850	PORB
Q921Q7	Rin1
P08408	papF
P08407	papE
P07111	papH
P62532	papK
P13720	papG
P9WGH9	sigH
P9WJ69	rshA
P97612	Faah
O76074	PDE5A
P22027	DMAC2L
Q99MS3	Mpv17l
P54283	Cacnb1
P15381	CACNA1C
P17501	GP64
P0A1D1	pduU
Q8VLX7	czrB
Q6J8I9	MIP
Q6QLM7	Kif5a
Q4KMG0	CDON
Q01721	Gas1
O76222	PI3K
Q57WF7	Tb927.7.3420
Q57YZ3	Tb927.8.3200
Q57UT3	Tb927.4.420
Q9HWR3	bphP
P96453	nhlE
B6DVZ1	LT
Q8GQ91	armR
Q9P7C7	prp11
O13829	usp101
Q84T94	XB15
A2XNG4	OsI_14103
P83094	Stim
Q804A5	Pabpn1l-a
Q9ER80	Rtp4
Q48EH2	PSPPH_4093
Q77YG0	vif
P72951	cyaA
P08874	abrB
P17955	Nup62
D3ZZY5	Pidd1
P55215	Casp2
Q9SV07	ASAT1
Q9LHF5	VIL1
Q8KZP4	secE
Q5SIW3	secA
Q68Y81	fancd2
Q07652	Cacna1e
Q91V27	Mlph
Q9ES67	Arhgef11
P0A1X2	mxiM
Q8NFT8	DNER
Q14126	DSG2
P70180	Npr3
P58660	Card10
D3ZWV8	Tiam1
P68693	TMK
Q3ZTX8	subB
Q3ZTX7	subA
Q8I2J4	Pfn
Q57818	spt5
P37554	spoVT
P39758	abh
Q9HYF1	PA3455
Q92SA6	SMc02148
A1ILR1	HA
P03438	HA
P50404	Sftpd
Q95KV1	CHUK
Q9DCM2	Gstk1
Q61827	Mafk
Q9KS12	rtxA
Q7Z7A3	CTU1
Q8KLS5	cheB2
Q8KLS1	cheY6
Q8KLS7	cheA4
Q53134	cheY
P04202	Tgfb1
Q76KB1	HS2ST1
B6RRX3	SaM-
P84087	Cplx2
Q00456	tmoA
Q8FDI4	assT
B6DMH6	FTN
Q7G7J6	SLR1
P35829	slpA
A8IJZ3	ODA6
Q8BPI1	Dnaaf2
A2AC93	Dnai2
P49278	DERP2
O95711	LY86
Q84KJ5	CRYD
A0AAR7	CCAMK
A9XMT3	IPD3
P20291	Alox5ap
P17743	hincIIR
P02640	VIL1
P40676	slyA
B8XCJ6	Unc80
P16109	SELP
B0S4P3	pylS
Q8IYB4	PEX5L
P04535	gp23
Q7DMN9	PCM5
Q7DMN9	PCM6
Q7DMN9	PCM7
Q7DMN9	PCM8
Q9X2H9	nfi
Q6PAL8	Dennd5a
P62160	CALM
Q9M1J2	NRPE5A
Q9LQ02	NRPD1
P37285	Klc1
B7SXM5	ier2
O31466	rtpA
Q60821	Zbtb17
A1L015	EPIC1
Q8S335	Rcr3
A1L017	EPIC2B
P00953	trpS
P15085	CPA1
A9QPL9	GP
Q9FDC4	mrpC
Q9JI33	Ntn4
O08721	Unc5a
O13836	din1
Q62193	Rpa2
P49950	Bcl2
Q43088	RBCMT
P0AFA2	narX
Q8TWB5	mcm2_2
Q8TWR7	mcm2_1
A7ZRJ5	gspD
Q8VDG3	Parn
P61493	groS
C5AW20	nepR
C5ASQ2	ecfG1
P0A386	psbV
Q9JXV4	NMB1870
Q86UQ8	NFE4
Q6DQ33	HA
P0C794	M
Q8R4I7	Neto1
P49582	Chrna7
Q9R007	Clec5a
Q9QUJ0	Hcst
O54885	Tyrobp
A0A0H2VBP9	c3393
Q9I1B2	PA2367
A0A0H2VCJ7	c3391
Q9HI36	hcpA
Q9HI36	hcpB
Q9HI36	hcpC
P46099	Klf1
Q8VI33	Taf9
B6TTV8	WTF1
A7XN92	CFM3
Q84N48	CAF2
A6YSL1	RNC1
Q84N49	CAF1
Q3U7R1	Esyt1
P56709	lig
Q9V3Z6	ck
Q84V18	STT7
A8J9Y1	PETC
P23577	petA
Q9W321	nej
P9WJJ3	nadE
Q7SSI0	pol
Q5SHD1	TTHA1799
Q6MPX4	mutT
Q8VWG7	TDX
Q7M6Z4	Kif27
Q8K450	Spag16
P0ADC3	lolC
P9WH69	nrdB
Q61286	Tcf12
Q01726	MC1R
P33032	MC5R
P41968	MC3R
P32245	MC4R
Q8VCD5	Med17
P73271	slr1142
Q55875	sll0102
P74175	hlyD
Q53IZ1	asD
Q93QX0	asD
Q8THK8	MA_4506
Q9RYW8	DR_A0188
Q9RTI9	DR_1775
O54568	icmR
O54635	icmQ
Q9W0G7	msd1
Q86LC4	Grip71
P63239	Pcsk1
P07110	papC
Q9Z2S7	Tsc22d3
Q9WVC6	Sgk1
Q61180	Scnn1a
Q9WU38	Scnn1b
B5M9P7	madB
O70632	M
P35672	sctC
P21784	Rag2
P15919	Rag1
Q46808	yqeB
P76658	hldE
P0A769	mntH
P0A7C6	pepE
P30177	ybiB
P0AD99	brnQ
P0ACV4	lapA
P64451	ydcL
P0A7U7	rpsT
P76236	cdgI
P0A7K6	rplS
P46853	yhhX
P76049	ycjY
P62768	yaeH
P31677	otsA
P0AAC0	uspE
P0ADA3	nlpD
P0A9W3	ettA
P76550	yffS
P33348	yehL
P64429	ypfJ
P39371	nanM
P76223	ynjB
P0AG63	rpsQ
P0AE45	ytfL
P45800	yrfF
P0ACI0	rob
P64506	yebY
P64517	yodC
P78067	ynjE
P25516	acnA
P76543	yffL
P75876	rlmI
P32701	pdeC
Q9NUV7	SPTLC3
Q8NFR3	SPTSSB
Q19T08	ECSCR
P26811	dpo1
Q9UXF8	cdc6-2
Q97W02	dbh
Q9I9P4	smad4a
O28029	alaS
Q8C796	Rcor2
Q802A9	FGFBP2
O48446	16
P0A387	psbV
P07727	Glra1
P07617	PAPS
O67030	mnmE
O66962	mnmG
P0DJO8	mogR
P72525	parC
P76541	eutL
P48641	At3g24170
